Question,Class
How To Help a Quiet Class,maths
What is the preferred method of teaching  linear  differential equations today?,maths
How can I make  complex  graphs that combine multiple functions with a software?,maths
Recommend a website for creating geometric figures,maths
Using an iPad to write on pdf slides,maths
Should I go over examples straight from the textbook in Calculus lectures?,maths
What are teachers  expectations on private tutoring in secondary education?,maths
How to create educational linear algebra animations?,maths
Pythagorean triples real examples,maths
Would it be constructive to teach a whole course on how to evaluate certain hard integrals?,maths
Automatically creating homework worksheets from textbook problems,maths
Motivation for polynomial long division,maths
Undergraduate Math Seminar topic,maths
Teaching math long distance,maths
Harnessing misuse of equals sign,maths
 Low-algebra  examples of induction,maths
a theorem to simplify continuity in Stewart s calculus  early transcendentals,maths
What is it called when terms disappear when reducing fractions?,maths
Automated drilling sites with some specific problems,maths
Examples  for beginners  of real functions which are not given by elementary formulae,maths
When to use row or column vectors in points and translations,maths
"Intro to Proof  if xx divides yy, then x?y",maths
Math Everywhere Activities,maths
"Teaching math by serving it as games with rules first, not intuition?",maths
"Succinct description of situations where naively obvious is correct, but for far more complicated reasons?",maths
Verifying Simple Expression Equivalence in a Spreadsheet,maths
Intuition for the mean for elementary school kids,maths
Beyond cubic polynomials  Applications?,maths
Hardware for real time streaming of writings and drawings,maths
How to organize a  cheatsheet-making session  with students,maths
Why do we state the antiderivative of secxsec?x as ln|secx+tanx|+Cln?|sec?x+tan?x|+C?,maths
What to include in an  elevator pitch  for an undergraduate statistics class,maths
why did common core remove so many topics from Algebra II?,maths
How to explain the sample space of Monty Hall problem?,maths
Iconic image to explain the fundamental theorem of calculus?,maths
Flow diagrams and summarizing strategies in proof-computation courses  good or bad for learning? Unsuitable for Inquiry-based learning?,maths
Using discrete examples in the beginning of integration,maths
Integrating derivatives over functions problem,maths
What does  Four selected students are not born in the same months  mean?,maths
Formal linear combinations  motivating examples,maths
More intermediate steps or check well-understanding,maths
About the word  limit  used in calculus,maths
Advice on Full Time Community College Math Instructor Position,maths
Complex logarithm and C/2i?Z,maths
How to explain angle hunting to students,maths
How to help students understand/remember that x2=ax2=a has two solutions?,maths
Is there any example of a  forwards/backwards  induction?,maths
"In what grade do kids  New York, US  learn common differences?",maths
Accessible written proof of the Nash Indifference Theorem  game theory ?,maths
Algebra 2 textbooks that incorrectly claim that all solutions of polynomial equations can be found,maths
Should young math students be taught an abstract concept of form?,maths
Flipped introductory real analysis resources?,maths
Making physical 3D models,maths
How can I explain horizontal shifts to a 12-year-old by analogizing with your money=my money+1?,maths
For what subjects and grade levels is the take-home exam suitable?,maths
Better ways to explain mutually exclusiveness and dependency of events,maths
How to make a student not overlook easy mistakes such as the wrong sign,maths
Multiple students writing yddxyddx rather than ddxyddxy -- why?,maths
How to deal with  Why can t I just do ......  in real analysis?,maths
Structure of math textbooks,maths
Word for the dimension of the vector space in which a vector lives?,maths
How to introduce group theory to a general audience in 15 minutes?,maths
"Is it a bad idea to use an old textbook such as Differential and integral calculus, with examples and applications for calculus course?",maths
Topics in Mathematics for a 15 minute demonstration,maths
The royal road to calculus,maths
"Why we don t normally teach chord, versine, coversine, haversine, exsecant, excosecant any more?",maths
"In teaching mathematics, should one always follow some international standards such as ISO 80000-2?",maths
In which course should we teach solving general cubic and quartic equations?,maths
What is a realistic situation that illustrates precisely what a p-value is?,maths
A good example to show group actions and Burnside s lemma,maths
 Indicated Arithmetic  or  Delayed Evaluation ,maths
Why are we even studying cyclotomic polynomials?,maths
is it appropriate or beneficial to mention weird results in math?,maths
Quadratic modeling project with upward-facing parabola example,maths
"Is there a place to buy physical models to demonstrate the Calculus shell, disk, and washer methods?",maths
Desmos Assignment  Make a graph that does this,maths
How can I measure the mathematical computation skills of high school students through a test?,maths
"Long-form, multi-step, skills-integrating applied mathematics problems in calculus I, II, III",maths
Are there any negative consequences in applying operations/functions to a whole equality?,maths
Could students learn a lot more from school if they re only taught number theory until way later?,maths
Should theorems be proved to students who are not majoring in mathematics?,maths
Tactile Learning Activities in Mathematics,maths
Motivate your answer vs. Prove your answer,maths
What effect does giving numerical or written grades have on learning?,maths
Vector calculus texts that are free-as-in-speech?,maths
Favorite datasets to use when teaching statistics,maths
How to explain linear approximation to an equation to calculus students?,maths
Published papers for Intro Stat students to read,maths
What is a good format of tutorial sessions?,maths
Is it a problem if a senior student majoring in mathematics could not prove the quadratic formula?,maths
What is the standard for  simplifying your answer ?,maths
Book recommendations on mathematics education focusing on geometry,maths
Analogy for nested loops/integrals,maths
"Is there a point at which it makes decidedly more sense to learn about a  linear approximation  to a function, rather than a  tangent ?",maths
Calculus workbook suggestions,maths
How to deal with a  protest  assignment?,maths
Good textbooks for a college Basic Geometry course?,maths
"Difficulty in teaching the coordinates of a vector with respect to a basis {v1,v2,…,vn}",maths
Geometry textbook with an abstract algebra emphasis,maths
"In a typical 3rd-semester multivariate calculus course in the US, what kind of area integrals do students actually learn to do?",maths
Alternating group without Sn example,maths
How to write slower on a blackboard?,maths
A more rigorous approach to Precalculus,maths
Midterm in Mathematics Courses,maths
Math Lessons with Two Parts and a Combination,maths
"When teaching someone how to prove a function is uniformly continuous, using epsilon/delta, which example would be among the simplest?",maths
Analogy for multiplying modulo N,maths
Real World use of the Function  sinx x,maths
Teaching indefinite integrals that require special-casing,maths
Physical devices for exploring calculus or pre-calculus,maths
How to verbalize the correct statement of mixed units?,maths
Could this visual explanation of horizontal shift be helpful ? ...  if not beautiful... ,maths
Where to find good exercises for term operations?,maths
Missouri EOC and the best Geometry book,maths
How to explain to pupils that  n100n100 OF aa  is equivalent to  aa TIMES n100n100 ?,maths
Lower-division complex analysis textbook,maths
Best practices in teaching math to future elementary teachers,maths
Unconstrained/Constrained optimization real life example,maths
What should I say about elementary number theory?,maths
"What are some tips for framing a graph in the most readable, relevant, and aesthetic way, for secondary education mathematics?",maths
Why in the FOIL Method the terms are taken with their signs?,maths
Explicit Cross Method,maths
Is a clear distinction made between signs and operators?,maths
What are some common ways students get confused about finding an inverse of a function?,maths
How to formulate this type of arcsin problem?,maths
Pros and cons of randomised question generation,maths
Introducing derivative concept and definition,maths
"Naming arbitrary constants  subscripts, primes, or just more letters?",maths
What is an interesting high-school level topic to discuss using Mathematica or Geogebra?,maths
The art of designing of problem sets,maths
Solutions to exercises,maths
What books are good for drawing an intersecting plane?,maths
Real-life exceptions to PEMDAS?,maths
How to justify that students should come to class?,maths
Is there a simple example that empirical evidence is misleading?,maths
Category mistakes regarding symbols and their impact on math  mis  understanding.   Object symbol/ sentence symbol confusion ,maths
How to come up with a Leslie matrix with convenient eigenvalues?,maths
Mobile phone apps that would allow for students to anonymously  buzz  me in real time?,maths
"How can I explain why numerical integration is easy, but symbolic integration is hard?",maths
Scientific results on the usefulness of physical units in secondary education?,maths
Different Kinds of Variables,maths
"MacLane-Birkhoff s  Algebra  vs Jacobson s  Basic Algebra I,II  vs Lang s  Algebra ",maths
Ideas for the introduction of the derivative?,maths
How to intuitively convince the students that a strip with two full twists is homeomorphic to the standard annulus?,maths
Student-friendly / efficient approach to computing Taylor coefficients of infinite binomial series expansions?,maths
Enlighten younger students about the concept of  procedural justice  in mathematics?,maths
Gauging correspondence between classtime and material rate,maths
Inefficient methods,maths
"Rhombuses, kites etc",maths
Entry Test for Statistical/Data Science class,maths
Motivation vs. Rigor,maths
Should a math teacher know some computer algebra system  by heart ?,maths
How to make a mathematical dynamic graph?,maths
How to help new students accept function notation,maths
Is it a bad idea to offer variants of a final exam based on the type of allowed calculators?,maths
Software for validating answers from students,maths
What is the most difficult concept to grasp in Calculus 1?,maths
Why is absolute value difficult?,maths
Should school syllabus include chapters partially?,maths
Will there ever be a revision of Common Core?,maths
Graph theory teaching materials for young students,maths
Is there a pre-calculus introduction to the formal definition of a limit?,maths
"Studies on more simple problems, or fewer difficult problems?",maths
"Easy examples of correspondence between global and local, as preparation for Gauss s theorem and Stokes s theorem",maths
How should students say in words the notation for a limit?,maths
How to show 3 log2n 5<n???,maths
"The word  numeral , is it being taught and does the word exist for it in your language?",maths
Can anyone recommend good software for verifying row reduction steps?,maths
Asking students to define  unique ,maths
How to give my students a straightedge instead of a ruler,maths
Calculus book for basic calculus and repetition from videregående  Norwegian high school ,maths
Instilling a Growth Mindset in a Student Diagnosed With Dyscalculia,maths
Is Plane Trigonometry by S. L. Loney still good as a textbook today?,maths
How important is knowledge of trig identities for use in Calculus,maths
 Riemann integrability  How do you explain this to a high school student?,maths
 use of de L Hospital s rule  How would you explain this limit to high school students?,maths
How to explain even higher moments,maths
Examples for environmental topics in the context of terms or linear inequalities,maths
What is the name of the form of the line equation y=m x?x0 +y0,maths
 Table  method for expanding brackets vs  each term in the first bracket gets multiplied by each term in the second bracket ,maths
How can I learn to write better questions to test for conceptual understanding?,maths
Prisoner s dilemma formulation for children example,maths
The propagation of the wave equation in even versus odd dimension,maths
Take-Home Examination on Ordinary Differential Equations?,maths
In preparation for exams  question bank or questions with omitted particulars?,maths
Exercise database,maths
"Explaining why  or whether  zero and one are prime, composite or neither to younger children",maths
"Which textbooks on College Algebra, Trigonometry, Pre-calculus, Calculus, Linear Algebra, ODE are written by world-class mathematicians?",maths
Are there any textbooks on multivariable calculus that introduce all non-trivial definitions and all non-trivial proofs with a  first draft ?,maths
Road map to teach undergrads a first course in real analysis that concludes with convergence of fourier series,maths
The hardest case of integration by partial fractions,maths
"Are degrees of polynomials illogically defined in elementary algebra, intermediate algebra and college algebra courses?",maths
Should Euler s formula eix=cosx+isinxeix=cos?x+isin?x be seen as a definition rather than something to prove?,maths
Favorite secondary math manipulatives?,maths
Co-curricular lessons between geometry and chemistry?,maths
Beautiful planar geometry theorems not encountered in high school,maths
Examples of Quadratic equations using complex math but with no imaginary roots,maths
Good Source for German Tank Problem,maths
Algorithmic thinking problems,maths
What mathematics activities get students physically moving?,maths
Suggested idea  Course exams written by someone else other than the instructors/coordinators. Good or Bad?,maths
3D vectors with 3D glasses software,maths
"How should one approach the concept of  plus or minus , such as in the numerator of the quadratic formula?",maths
Cinderella vs. GeoGebra,maths
How to emulate erf and/or the Normal Inverse function in Moodle?,maths
Should high school teachers say “real numbers” before teaching complex numbers?,maths
How to  or should one  distinguish between lowercase and uppercase letters orally when lecturing?,maths
How to teach linear programming and reductions?,maths
Is this primarily a  rote computational trick  for multiplication by 9?,maths
Should we stop differentiating between ln and log?,maths
Cardinal vs. ordinal  When learned? When needed?,maths
Are there standard notations for  number talks  / ‘math talks? ,maths
Equality as  makes  vs equality as  equals ,maths
How should I introduce the Chain Rule,maths
Should we teach simple content quickly or slowly?,maths
What is the quantitative data on effectiveness of  modern  teaching methods?,maths
Does anyone teach logarithms via slide rules?,maths
How to read chained equalities out loud?,maths
Is there a numerical base that is in any way “better” for simple mathematical calculations than others?,maths
How to teach integrals motivated by the work done in moving an object?,maths
Acceptability of creative questions in assessments,maths
How is abab interpreted?,maths
Teaching Calculus I to engineers,maths
Combinatorial problems which can be solved with polynomials,maths
Why are a.e. defined functions rarely mentioned in elementary books?,maths
Terminology for parts of limit notation,maths
Allowing nonstandard mathematical language and/or notation,maths
How to intuitively understand how the trig ratios are calculated,maths
Undergraduate Vector Calculus Notation Mess,maths
On a special degenerate conic,maths
Scoring students  work is counter-productive,maths
Has the equation log x?10 =3+log x?3 log? x?10 =3+log? x?3  a *substitutable* solution in RR?,maths
Confusing verbal descriptions of function transformations,maths
Teaching Quantifiers Before Logical Connectives,maths
Can we avoid confusion over using  let  as a quantifier?,maths
What are strategies for teaching that the altitude of a right triangle creates two similar triangles?,maths
How to explain the  less than yearly compounded interest  concept?,maths
Should we stop teaching  interchange xx and yy  when finding the inverse function?,maths
Proof that convergent Taylor Series converge to actual value of function,maths
How shall we teach math online due to pandemic,maths
Best resources for probability/statistics textbooks,maths
How to evaluate students in a  do all you can  exercise?,maths
Should we stop using traditional compass in schools & start/encourage adopting compasses like  Slide N Measure  or  Safe-T  compasses instead?,maths
Is evaluating a Real Polynomial at a Complex Value a suitable task for Precalculus students?,maths
Topics for undergraduate seminar for mathematics educators,maths
How to conduct online testing for Calculus due to pandemic,maths
The spatial thinking course for primary school - what to use?,maths
What is the best way to intuitively explain the relationship between the derivative and the integral?,maths
Ideas for explaining 4D and higher dimensions,maths
How to define  axes with the same scale  in Secondary/High School?,maths
Are there any online question bank of mathematics questions?,maths
Mathematics minor requirements,maths
When assigning a late penalty for assignments is that penalty subtracted from the total or does it reduce the score by that percentage,maths
Multiple extra credit questions in a homework set,maths
Different ways to multiply decimals,maths
Has a List of Fundamental Mathematical Skills been compiled?,maths
Do you teach different proofs or calculations of same question?,maths
"Geometrical interpretation of the identity lcm a,b gcf a,b =ab",maths
"For an online assignment application, should different versions of the same assignment be allowed to have different numbers of questions?",maths
 How  Do American undergraduate math programs teach complex numbers?,maths
Introductory Analysis lecture slides,maths
Does the  Find  in questions such as  Find the solution  imply the process of finding must be laid out?,maths
Examples for  good  exponential growth versus linear growth,maths
Content for a 40-minute lecture on graph theory for high schoolers,maths
How rigorous should high school calculus be?,maths
How do I track down the sources of solutions which students have used to cheat on exams?,maths
Why do some linear algebra courses focus on matrices rather than linear maps?,maths
 Feynman effect  in teaching mathematics,maths
Looking for a HIERARCHY of math subjects,maths
Math 3d animation software,maths
"Teaching Approach at primary, middle and higher level",maths
What are some resources for  ungrading  in a math class?,maths
Efficient methods to receive and grade online mathematics assessments due to pandemic?,maths
How must the  ungrading  idea be adapted to work in a math class?,maths
Concrete way to teach addition and subtraction of fractions,maths
Future way of learning mathematics  towards graduate level  due to pandemic,maths
Better instruction for an identity equation worksheet,maths
Workbooks for advanced high school math topics,maths
What websites allow students to purchase solutions to problems?,maths
What are the best practices for giving online tests due to pandemic?,maths
What are some of the open problems that can be suitably introduced in a calculus course?,maths
The use of  ??  and  ?? ,maths
English translation of Sung-Dae Hong s The Art of Mathematics,maths
When do college students learn rigorous proofs?,maths
Why is a translated exponential function considered an exponential function?,maths
Ideal Features of Online Homework Platform?,maths
"Analogies for grad, div, curl, and Laplacian?",maths
Is There Such Thing as Reaching Half a Standard?,maths
Would it make sense for math courses to be pass/fail?,maths
Good resources on matrix equations,maths
Research for Video Length for Math Videos,maths
Generating system of equations with unique solutions,maths
Intuition or geometry for Partial Fractions,maths
Definitions of factors and terms,maths
"In single variable calculus, do you distinguish between critical and singular points?",maths
Online Definition/Theorem Statement Quizzes due to pandemic,maths
Transitioning proof based math courses online due to pandemic,maths
"If a computer could be programmed to do a math test, then should those tests be changed?",maths
What topics are considered to be part of pre-algebra?,maths
Sharing notes in an editable format?,maths
What books are good to study Solid Mensuration?,maths
Best form for slide / beamer presentation  display items in a slide as they are discussed or all at once?,maths
Is there a study on how often modern teaching methods versus traditional methods are used in a math classes?,maths
"asynchronous teaching and requiring frequent email updates from students, and having these as the only part of their grade due to pandemic",maths
How do you explain concavity of a polynomial without any calculus?,maths
How to word this exercise about converting  English  into interval notation?,maths
Are there direct practical applications of differentiating natural logarithms?,maths
Grading in a way that lets students have a good and formative experience,maths
How to explain to undergraduate students what research means?,maths
"Question formats for online tests, to deter cheating",maths
How much literature research should one do when designing a course?,maths
Is there an arithmetic book similar to “Teach Your Child to Read in 100 Easy Lessons” by Siegfried Engelmann?,maths
The purpose of a particular rational function integration exercise,maths
Why are  homogeneous differential equations  in the standard ODE curriculum?,maths
Where does the compulsive use of three dots come from and should it be discouraged?,maths
What s the point of learning equivalence relations?,maths
Analogy for cylindrical shells,maths
"What are some famous problems, which are not difficult to understand, for senior high school students",maths
"Exercises for explaning homothety, homothetic center, similarity on line and plane, free vector and vector space",maths
Low-tech ways of visualizing multivariable and vector calculus,maths
Number theory in an introductory course on discrete dynamical systems,maths
Can we skip Newton s Method?,maths
Why does a first course in linear algebra teach QR-decomposition?,maths
What are some nice ways to incorporate Euler s Method or other numerical methods throughout calculus?,maths
Why don’t American school textbooks recognize negative numbers as whole numbers?,maths
Is there any university program that offers an introductory statistical methods class that is bayesian -instead- of a frequentist one?,maths
Should students get another chance at a math question because of English troubles?,maths
What s the common word for equations and inequalities?,maths
Applications of abstract algebra outside of mathematics and suitable textbook,maths
Would this be a good way of teaching about symmetry?,maths
Examples of real-life vector fields for vector calculus,maths
What is the right notation to use in multivariable chain rules?,maths
Choice of textbook for an undergraduate abstract algebra course,maths
Do you avoid examples or test questions that showcase an algorithmic plug n chug approach?,maths
How important is it to come up with or learn an elementary solution?,maths
The dimension theorem and pedagogy using analogy,maths
Do people usually teach solving a linear differential equation by inverse operators in an undergraduate course?,maths
A wow video to teach Calculus,maths
Relationships amusingly difficult to graph,maths
Clearest verb phrases for operations,maths
Is there a name for paths that follow gridlines?,maths
When are students taught implicit and parametric representations of curves?,maths
What is the motivation for teaching Factoring by Grouping?,maths
Replacement for the Pac-Man grid analogy,maths
How to create an online examination in a small class that ensures certain academic integrity,maths
Question about function notation,maths
How should I answer questions about the purpose of learning math?,maths
Start drawing a graph,maths
The Riemann integral vs Lebesgue integral in several variables for advanced undergraduates,maths
Measuring the effectiveness of one-on-one instruction?,maths
Is the AMC 10/12 Test the Difference Maker for Top Schools? What do Colleges Look for?,maths
"Statistics, for the mathematically rigorous",maths
Effects of AI based education in mathematics in PISA like studies,maths
Which resource s  to use to learn the following syllabus of discrete structures?,maths
Usefulness of uu-substitution in and beyond early Calculus?,maths
Looking for a calculus books with very specific requirements,maths
Honors Precalculus  what topics to cut due to pandemic?,maths
How to teach the Pythagorean theorem in a satisfying way to high school students?,maths
Definition of Trapezoid,maths
What story and one-digit Natural Numbers best fit Bayes  Theorem chart?,maths
Pros/Cons of using a single story in multiple examples to demonstrate different points,maths
Why do we still teach the determinant formula for cross product? And is it as bad as I think it is?,maths
Pattern and Structure Mathematics Awareness Program  pasmap ,maths
What is the name of this teaching style?,maths
Are there any university programs that  supersize  calculus courses?,maths
Term for candidates for inflection points,maths
Can we define length and perpendicularity not via an inner product?,maths
Should figures be presented to scale?,maths
Material and textbooks for CLIL learners,maths
How to reduce ambiguity in the following question?,maths
What famous graduate math textbooks use color?,maths
Reference on study habits  cramming vs studying a bit every day,maths
Why do we teach the Rational Root Theorem?  high school algebra 2 ,maths
Improving exposition of a proof about polynomials over infinite fields,maths
Rings in parallel with groups in abstract algebra,maths
Is  conjugate of a binomial  a standard terminology?,maths
Is there a virtue to learning how to compute by hand?,maths
Why teach the algebraic Calculus?,maths
Why are so many online sources  wrong  about directional derivatives?,maths
Resources for teaching mathematical modeling to high school teachers,maths
Distance Between Curves in First-Semester Calculus,maths
Natural occurrences of a to the  b to the c ? Real world,maths
History of business calculus/linear algebra curriculum,maths
History of discrete math curriculum,maths
High school algebra books that encourage creative/novel problem solving,maths
Why do we typically only teach high-school students affine transformations of elementary functions?,maths
Are there any applications of xxxx?,maths
Is there any video lecture series on  UG level  graph theory  might not be specific on any books  but the video/content quality is like that of MIT?,maths
How to do continuous course evaluation and feedback,maths
"Which works better for learning 6 * 7 = 42  saying  six sevens are forty-two , or  six times seven equals forty-two ?",maths
How to evaluate a proof that seems to be using induction informally?,maths
What is a good second book in high school geometry?,maths
"Phase shift vs. horizontal shift, and frequency vs. angular frequency in sinusoidal functions",maths
"Students reliant on answers provided, but not their own reasoning?",maths
"Should I avoid writing  11 40?15 min=11 2511 40?15 min=11 25, and what are alternatives to this way of writing?",maths
simple statistics  binomial  terminology,maths
What is the preferred way to denote the Pythagorean theorem equation?,maths
in what sense is the subject of finite group theory  algebraic ?,maths
Why should or shouldn t we teach functions to 15 year olds?,maths
"When working with 12-16 year olds, how should I graph functions when the domain technically isn t RR?",maths
Resource request  3-4 page review of exponentials and logs,maths
Children s counting problems  Is this question phrased correctly?,maths
Showing applications of calculus to intro students,maths
Converting an Online Course Back to In-Person,maths
Why do we write xx instead of 1x1x?,maths
Locus of the maximal turning point and the point of inflection,maths
What s a good notation to show elements of relation composition?,maths
Example of why proof by exhaustion is inelegant,maths
How to test student s skills in programming or using software?,maths
Importance of asking questions in a mathematics class,maths
How to teach if calculations and algebraic manipulations are off limits,maths
Are there any list of mathematical constructions which can challenge 12-16 year old students?,maths
Are there any mathematics based game apps which require students  between 10 - 16 years  to apply their maths knowledge to play the game,maths
What are strategies that a 10-13 year old could use to convert 6/27 into decimal notation?,maths
When and where were textbooks that use set notation for basic algebra solutions?,maths
"What can  and should  an educator do about ambiguous terms like  triangle ,  square , etc?",maths
Why do we introduce the notion that triangles are  congruent  instead of just saying that they are  the same  or  equal ?,maths
Is it a good idea for elementary school students to observe and discover the  circle perimeter formula  themselves without being dictated to?,maths
How to grade group project or group assignment?,maths
Response to Students Who Say  This Is Not Important ,maths
Proportional density function question,maths
"Why can an easily graphable definite integral, be labyrinthine to evaluate?",maths
An introductory example for Taylor series  12th grade ,maths
Textbooks with solutions and catering to different circumstances,maths
Teaching words with multiple meanings in Mathematics and English,maths
A linear equation -- my approach,maths
What is the English word for the French  repère ?,maths
Peter Liljedahl  Thinking Classroom  pedagogy  what is evidence for its effectiveness?,maths
Applications of the annihilator from linear algebra,maths
Why so many single-variable calculus textbooks? But still no equivalents to Visual Group Theory or Complex Analysis for other subjects?,maths
Is there a place where I can buy well made calculus 2 and calculus 3 lesson plans and power points?,maths
"Reference request  an introduction to triangular, square, and other figurate numbers",maths
Can anyone help give pointers of Mathematics Story Telling Animated Videos for Age Group 10 - 15?,maths
Resources for mathematics for sustainability,maths
"Should we assess ability to use specific problem solving methods, or general ability to solve problems?",maths
Which grade students should be able to solve applied economy / business / profit prediction exercises?,maths
Research on Waldorf/Steiner mathematics education,maths
Math Modeling search results data set,maths
Computing eigenvalues by hand without determinants,maths
Implementing Standards for Mathematical Practice in CCSS M   Proficiency Education ,maths
Help me to prepare for my first job interview presentation,maths
"Motivating example for sequences, sums and limits in high school",maths
"What studies exist, comparing the efficacy of exercise sheets with or without worked solutions?",maths
How to create an equation of a given form with integer coefficients and variables,maths
Looking for good examples/explanations of maximum likelihood estimators for discrete random variables,maths
Composite fraction?,maths
Is there an equivalent for  tiervenner  in English or other languages?,maths
At what grade/age levels do students in Florida/USA stop using mixed fractions?,maths
Effect of grades versus pass/fail on teacher education students,maths
Is there a name for this method of column addition and subtraction?,maths
How to encourage students to discuss with themselves in a remote teaching environment pandemic?,maths
Should I ask for a proof-of-work for online exam?,maths
Where can I find hard exercises for logic?,maths
Preparing elementary teachers for the praxis exam,maths
What do kids 6-15  need to know in Math to be able to understand Math easily and effectively?,maths
Exponential & logarithm in a high school calculus class,maths
How to recognize possible dyscalculia in a student?,maths
Probability — analytical results instead of simulations,maths
Is there a difference between  subtract  and  subtract by ?,maths
Is the AC Method of Factoring polynomials more popular and used by teachers than others methods of factoring polynomials?,maths
I want a  true  proof by contradiction of an implication P?Q,maths
Where can I buy a compass that can hold an  Expo  dry erase whiteboard marker?,maths
How can I encourage students to show up for exercise classes?,maths
Where can I find public repositories of past math exams?,maths
What is the most fundamental continuous function in calculus after a constant  totally straight  line?,maths
How to explain the difference between a constant function and a linear function?,maths
Is it possible to understand decimals without understanding fractions?,maths
Write calculus multiple choice questions with only numerical answer choices?,maths
is it beneficial to encourage high school students to conduct their own  research  in mathematics?,maths
Why the fear of polynomial long division?,maths
Are these fraction problems different enough to warrant individual consideration?,maths
Is there an agreed upon difference between how we represent abab and a?1ba?1b?,maths
Effective Strategies for Helping Students Recognize Nonsensical Expressions?  HS - Undergrad Level ,maths
How to Effectively Implement a  Notice and Wonder  Activity?,maths
Simple combinatorics problems using division real world examples,maths
Average Cost to Velocity Analogy,maths
Line segments on a geoboard,maths
How should I teach logarithms to high school students?,maths
"Where can I find the solutions manual to Beginning Statistics with Data Analysis by Mosteller, Fienberg and Rourke?",maths
Questions about proofs,maths
Are ‘constant difference’ and ‘common difference’ synonymous?,maths
Is there such thing as a 1 kg  decimeter cube? ,maths
ELL textbooks for core university math?,maths
Pro s and cons of number line model vs color counter model,maths
What s the best ratio for algebra tiles?,maths
Explaining the intuition for why finding roots of polynomials is hard,maths
Nice examples of limits to infinity in real life,maths
How can I visualize differential equations and Integration in real life?,maths
Introducing direct substitution in an intro calculus course,maths
"Is it more efficacious, productive to jump to perusing full solutions — before and without attempting to solve problems?",maths
Is there a measurable learning goal related to understanding proofs of important theorems?,maths
"What do you think, is teaching on an actual board more efficient than using an online board pandemic?",maths
How to convince a high school student that the == symbol denotes identity?,maths
"What books teach the formula for the # of k-permutations of n objects, with x types, and r1,?,rxr1,?,rx = the number of each type of object?",maths
Should I upload slides before or after a class,maths
Should proofs include a third “context” column?,maths
Why is my 8th grade Algebra 1 tutoring student learning mean absolute deviation and standard deviation?,maths
"For 15 year olds, are there exercises — with full solutions — on the Fence Post or Off by One error?",maths
Measures to quantify complexity of algebra equation,maths
"How do I sketch a good gaussian curve freehanded, or by using only common sketching tools?",maths
"How can students prognosticate to rewrite the same sum backwards, then add the same sum twice?",maths
How to teach relationship between slopes and angles?,maths
Do I really need to cover solids of revolution in my Calculus I class?,maths
Seeking short algebraic proofs that an Algebra2 student can appreciate,maths
Are there science-backed effective teaching strategies?,maths
What is the best way to introduce Laplace transforms on an Engineering Mathematics course?,maths
"Word problems written in past tense, present tense, or future tense",maths
What to do with students who are often absent from class?,maths
Good Examples of Equations Derived from Elementary Calculus,maths
Proofs with Independent Parts,maths
Is applying maths a  hard problem  and how does the profession help?,maths
What s the Deal with Inverse Cotangent?,maths
How to make student work in think-pair-share?,maths
"What is a good way to broach the subject of abstract algebra, to a student in Calc 1, or pre-calc?",maths
Why do we use functional composition in the order we do?,maths
Policy in mathematics teaching,maths
Ball rolling down curve simulator,maths
Should students in a first university linear algebra class be taught to write simple proofs?,maths
How should I grade true-or-false questions if the student s writing is unclear?,maths
Concrete vectors spaces without an obvious basis or many  obvious  bases?,maths
Valid Reasons in Two-Column Geometry Proofs,maths
What should I do if students did very poorly in the mid-term exam?,maths
Should we use quizzes to replace homeworks?,maths
AP Calculus BC Guidance,maths
Resource for International Comparison of Math Education Logistics,maths
Should an undergraduate math program contain a course on Lebesgue integration?,maths
What are examples of math-themed sci-fi appropriate for students?,maths
Creative problems in 2D vector geometry,maths
References for mathematical notation for foreign students in the U.S,maths
Finding an analogy to explain the function of a binary adder,maths
Real-world applications of taxicab metric,maths
"What term describes the relationship between tenth, hundredth, thousandth and the number ten?",maths
Where can I find a collection of bad/misleading data visualizations?,maths
What are best practices for building a dedicated space for mathematics majors?,maths
What are some examples of great functions that are not too elementary  easy ?,maths
How well can students learn abstract concepts through concrete examples?,maths
Is it considered a mistake to use different correct notation for writing intervals?,maths
Equation of a straight line on two dimensional Cartesian plane,maths
Explaining why volume of cone is a third of cylinder,maths
Examples of relations that are not functions,maths
Is there anything one can do for students who have given up?,maths
"Generating exercises about extrema of f x,y ",maths
How can I improve my Retake Policy?,maths
Simple way to explain Sine theorem applications,maths
How to let students answer a Moodle Quiz by typing  or pasting  LaTeX code?,maths
Multivariable Calculus Project Ideas,maths
How do I teach the difference between Linear Equations and Equation of a Line,maths
"For students who don t have instant recall with basic arithmetic, should I be stubborn about training them to have instant recall before moving on?",maths
What is the MOST efficient paper/mental multiplication algorithm for integers?,maths
Explaining difference between improper integrals that converge and diverge,maths
Tangent line to a curve,maths
Importance of standardization of definitions of mathematical terms,maths
Reasoning outcomes of simplifications involving infinity,maths
What are the essential mathematics skills that uni based STEM math educators want high school to teach students?,maths
Skipping a calculus topic  squeeze theorem ,maths
The Interleaving Effect  How widely is this used?,maths
Ideas for game-theoretic meta contest problems for HS students,maths
Is coefficient same as constant?,maths
"Educators, what resources have you built to better serve your students?",maths
What value is there in requiring students to declare the dimensions of an answer when it is already clear from context?,maths
Reduction of fractions,maths
Favorite linear programming  not integer  examples?,maths
math syllabus US education system 1-12th Grade,maths
Applications for logarithms in a business math course,maths
What are some rationales to teach Computer Science students Sequences and Series?,maths
Counting principles in combinatorics,maths
