Question,Date,Answer,Student or Teacher or neither,Teachers subject knowledge,Differentiation,Lack of time,Approaches to teaching,Dry,Assessment,Lack of support,Students lack of understanding,Problem solving skills,Resilience,Not engaged,Ability in maths,Literacy skills,Not remembering,Not practising,Technical problems,Lack of resources,Finding resources,Curriculum,Fun,Terminology
Lower-division complex analysis textbook,15/04/2019,2,t,,,,,,,,,,,,,,,,,,1,,,
Best practices in teaching math to future elementary teachers,15/04/2019,1,t,,,,1,,,,,,,,,,,,,,,,,
Complex numbers and encourage justification,17/04/2019,3,t,,1,,1,,,,,,,,,,,,,,,,,
Why is it difficult to freely change between points and vectors?,17/04/2019,2,t,,,,1,,,,1,,,,,,,,,,,,,
Unconstrained/Constrained optimization real life example,20/04/2019,3,t,,,,1,,,,,,,,,,,,,,,,,
What should I say about elementary number theory?,25/04/2019,1,t,,,,,,,,,,,,,,,,,,,1,,
"What are some tips for framing a graph in the most readable, relevant, and aesthetic way, for secondary education mathematics?",26/04/2019,2,t,,,,1,,,,,,,,,,,,,,,,,
What is the notation for polynomial long division in Norway?,30/04/2019,1,t,,,,,,,,,,,,,,,,,,,,,
Curriculum for Advanced 6th Graders,30/04/2019,2,t,,1,,,,,,,,,,,,,,,,,1,,
Why in the FOIL Method the terms are taken with their signs?,01/05/2019,3,t,,,,,,,,,,,,,,,,,,,,,1
How to overcome the frustration in teaching and doing research at the same time,01/05/2019,3,t,,,,,,,,,,,,,,,,,,,,,
Explicit Cross Method,01/05/2019,1,t,,,,1,,,,,,,,,,,,,,,,,
Is a clear distinction made between signs and operators?,02/05/2019,1,t,,,,,,,,,,,,,,,,,,,,,1
Use of Lockhart's *Measurement* in a course?,02/05/2019,0,t,,,,1,,,,,,,,,,,,,,1,,,
What are some common ways students get confused about finding an inverse of a function?,03/05/2019,3,t,,,,,,,,1,,,,,,,,,,,,,
How to formulate this type of arcsin problem?,03/05/2019,1,t,,,,,,,,,,,,,,,,,,,,,1
Pros and cons of randomised question generation,04/05/2019,2,t,,,,,,1,,,,,,,,,,,,,,,
Introducing derivative concept and definition,05/05/2019,4,t,,,,,,,,,,,,,,,,,,,1,,
"Naming arbitrary constants: subscripts, primes, or just more letters?",05/05/2019,1,t,,,,,,,,,,,,,,,,,,,,,1
What is an interesting high-school level topic to discuss using Mathematica or Geogebra?,09/05/2019,6,t,,,,,,,,,,,,,,,,,,,1,,
The art of designing of problem sets,10/05/2019,0,t,,,,,,1,,,,,,,,,,,,,,,
Solutions to exercises,10/05/2019,3,t,,,,1,,,,,,,,,,,,,,,,,
Are there textbooks that cover most etymological aspects of mathematics?,12/05/2019,1,t,,,,,,,,,,,,,,,,,,1,,,1
What books are good for drawing an intersecting plane?,16/05/2019,3,t,,,,,,,,,,,,,,,,,,1,,,
Real-life exceptions to PEMDAS?,16/05/2019,5,t,,,,1,,,,,,,,,,,,,,,,,
How to justify that students should come to class?,19/05/2019,2,t,,,,,,,,,,,,,,,,,,,1,,
Is there a simple example that empirical evidence is misleading?,20/05/2019,13,t,,,,1,,,,,,,,,,,,,,,,,
Category mistakes regarding symbols and their impact on math (mis) understanding. ( Object symbol/ sentence symbol confusion),21/05/2019,7,t,,,,,,,,,,,,,,,,,,,,,1
How to come up with a Leslie matrix with convenient eigenvalues?,27/05/2019,2,t,,,,1,,,,,,,,,,,,,,,,,
"Mobile phone apps that would allow for students to anonymously ""buzz"" me in real time?",28/05/2019,1,t,,,,,,,,,,,,,,,,,,1,,,
"How can I explain why numerical integration is easy, but symbolic integration is hard?",28/05/2019,7,t,,,,1,,,,,,,,,,,,,,,,,
Resources for teaching calc III,29/05/2019,1,t,,,,1,,,,,,,,,,,,,,1,,,
Scientific results on the usefulness of physical units in secondary education?,04/06/2019,1,t,,,,,,,,,,,,,,,,,,,,,1
"Propositional and predicate logic, with quantifiers: Is there any research when it is ideal to explicitly teach in mathematics education?",07/06/2019,1,t,,,,1,,,,,,,,,,,,,,,,,1
Different Kinds of Variables,09/06/2019,8,t,,,,,,,,,,,,,,,,,,,,,1
"MacLane-Birkhoff's ""Algebra"" vs Jacobson's ""Basic Algebra I,II"" vs Lang's ""Algebra""",18/06/2019,3,t,,,,,,,,,,,,,,,,,,1,,,
Ideas for the introduction of the derivative?,21/06/2019,4,t,,,,1,,,,,,,,,,,,,,,,,
How to intuitively convince the students that a strip with two full twists is homeomorphic to the standard annulus?,24/06/2019,2,t,,,,1,,,,,,,,,,,,,,,,,
"Corequisite remediation for ""Mathematics for Future Elementary Teachers""",25/06/2019,1,t,,,,1,,,,,,,,,,,,,,,1,,
Student-friendly / efficient approach to computing Taylor coefficients of infinite binomial series expansions?,25/06/2019,1,t,,,,1,,,,,,,,,,,,,,,,,
"Enlighten younger students about the concept of ""procedural justice"" in mathematics?",26/06/2019,2,t,,,,,,,,,,,,,,,,,,1,,,
Delivering mathematics lectures via tablet and projector,27/06/2019,5,t,,,,1,,,,,,,,,,,,,,1,,,
Gauging correspondence between classtime and material rate,02/07/2019,2,t,,,,1,,,,,,,,,,,,,,,,,
Inefficient methods,04/07/2019,4,t,,,,1,,,,,,,,,,,,,,,,,
"Rhombuses, kites etc",11/07/2019,8,t,,,,,,,,,,,,,,,,,,,1,,
Entry Test for Statistical/Data Science class,15/07/2019,1,t,,,,,,1,,,,,,,,,,,,,,,
Motivation vs. Rigor,20/07/2019,1,t,,,,1,,,,,,,,,,,,,,,,,
"Should a math teacher know some computer algebra system ""by heart""?",25/07/2019,3,t,,,,,,,,,,,,,,,,,,1,,,
How to make a mathematical dynamic graph?,29/07/2019,6,t,,,,,,,,,,,,,,,,,,1,,,
How to help new students accept function notation,06/08/2019,21,t,,,,1,,,,,,,,,,,,,,,,,
Is it a bad idea to offer variants of a final exam based on the type of allowed calculators?,07/08/2019,6,t,,,,,,1,,,,,,,,,,,,,,,
Software for validating answers from students,13/08/2019,3,t,,,,,,1,,,,,,,,,,,,,,,
What is the most difficult concept to grasp in Calculus 1?,14/08/2019,1,t,,,,,,,,1,,,,,,,,,,,,,
Adding things to bunches of things vs multiplication,15/08/2019,5,t,,,,1,,,,1,,,,,,,,,,,,,
Why is absolute value difficult?,16/08/2019,11,t,,,,,,,,1,,,,,,,,,,,,,
Should school syllabus include chapters partially?,17/08/2019,4,t,,,,,,,,,,,,,,,,,,,1,,
Will there ever be a revision of Common Core?,21/08/2019,1,t,,,,,,,,,,,,,,,,,,,1,,
The most transparent exposition of Bayes' Theorem,24/08/2019,1,t,,,,1,,,,,,,,,,,,,,1,,,
Graph theory teaching materials for young students,30/08/2019,3,t,,,,,,,,,,,,,,,,,,1,,,
"An alternative to ""two column"" geometry proofs",01/09/2019,1,t,,,,1,,,,,,,,,,,,,,,,,1
Is there research on the efficacy of taking good notes in math class?,01/09/2019,1,t,,,,,,,,,,,,,,,,,,,,,
Is there a pre-calculus introduction to the formal definition of a limit?,02/09/2019,3,t,,,,1,,,,,,,,,,,,,,,,,
"Studies on more simple problems, or fewer difficult problems?",02/09/2019,1,t,,,,1,,,,,,,,,,,,,,,,,
"Easy examples of correspondence between global and local, as preparation for Gauss's theorem and Stokes's theorem",02/09/2019,4,t,,,,1,,,,,,,,,,,,,,,,,
How should students say in words the notation for a limit?,03/09/2019,7,t,,,,,,,,,,,,,,,,,,,,,1
Why do you need to distinguish between apparently identical objects in probability?,06/09/2019,9,t,,,,1,,,,1,,,,,,,,,,,,,
How to choose random student to answer questions?,08/09/2019,5,t,,,,1,,,,,,,,,,,,,,1,,,
A different symbol for the indefinite integral/antiderivative?,09/09/2019,5,t,,,,1,,,,,,,,,,,,,,,,,1
How to show 3(log2n)5<n−−√,09/09/2019,7,t,,,,1,,,,,,,,,,,,,,,,,
"The word ""numeral"", is it being taught and does the word exist for it in your language?",12/09/2019,4,t,,,,,,,,,,,,,,,,,,,,,1
Can anyone recommend good software for verifying row reduction steps?,12/09/2019,3,t,,,,,,,,,,,,,,,,,,1,,,
"Asking students to define ""unique""",12/09/2019,2,t,,,,,,,,,,,,,,,,,,,,,1
How to give my students a straightedge instead of a ruler,13/09/2019,13,t,,,,,,,,,,,,,,,,,,1,,,
Applied ODEs for Numerical Methods,16/09/2019,1,t,,,,1,,,,,,,,,,,,,,1,,,
Calculus book for basic calculus and repetition from videregående (Norwegian high school),17/09/2019,1,t,,,,,,,,,,,,,,,,,,1,,,
Instilling a Growth Mindset in a Student Diagnosed With Dyscalculia,19/09/2019,2,t,,1,,,,,,,,,,,,,,,,,,,
Is Plane Trigonometry by S. L. Loney still good as a textbook today?,23/09/2019,3,t,,,,,,,,,,,,,,,,,,1,,,
How important is knowledge of trig identities for use in Calculus,24/09/2019,9,t,,,,1,,,,,,,,,,,,,,,,,
Quote to show students don't have to fear making mistakes,25/09/2019,23,t,,1,,,,,,1,,,,,,,,,,,,,
How to explain that the sums of numerators over sums of denominators isn't the same as the mean of ratios?,27/09/2019,8,t,1,,,1,,,,,,,,,,,,,,,,,
(Riemann integrability) How do you explain this to a high school student?,28/09/2019,3,t,,,,1,,,,,,,,,,,,,,,,,
Are there mathematical proof info-graphics?,30/09/2019,2,t,,,,,,,,1,,,,,,,,,,1,,,
(use of de L'Hospital's rule) How would you explain this limit to high school students?,01/10/2019,3,t,,,,1,,,,,,,,,,,,,,,,,
How to explain even higher moments,02/10/2019,1,t,,,,1,,,,,,,,,,,,,,,,,
How to teach sketching a parametric curve?,02/10/2019,5,t,1,,,1,,,,,,,,,,,,,,,,,
Examples for environmental topics in the context of terms or linear inequalities,02/10/2019,2,t,,,,1,,,,,,,,,,,,,,,,,
What is the name of the form of the line equation y=m(x−x0)+y0,06/10/2019,3,t,,,,,,,,,,,,,,,,,,,,,1
Examples of informal explanations that cause misconceptions,06/10/2019,4,t,,,,1,,,,,,,,,,,,,,,,,1
"""Table"" method for expanding brackets vs ""each term in the first bracket gets multiplied by each term in the second bracket""",06/10/2019,3,t,,,,1,,,,,,,,,,,,,,,,,
How can I learn to write better questions to test for conceptual understanding?,07/10/2019,8,t,,,,,,,,,,,,,,,,,,1,,,
Prisoner's dilemma formulation for children example,09/10/2019,8,t,,,,1,,,,,,,,,,,,,,,,,
The propagation of the wave equation in even versus odd dimension,12/10/2019,0,t,,,,1,,,,,,,,,,,,,,,,,
Symmetry in polar functions - how to explain,14/10/2019,4,t,,,,1,,,,,,,,,,,,,,,,,1
Take-Home Examination on Ordinary Differential Equations?,16/10/2019,3,t,,,,,,1,,,,,,,,,,,,,,,
How do you attract more math majors at a liberal arts college math department?,18/10/2019,8,t,,,,,,,,,,,,,,,,,,,,,
In preparation for exams: question bank or questions with omitted particulars?,18/10/2019,1,t,,,,,,1,,,,,,,,,,,,,,,
Exercise database,22/10/2019,2,t,,,,,,,,,,,,,,,,,,1,,,
"Explaining why (or whether) zero and one are prime, composite or neither to younger children",27/10/2019,15,t,,,,,,,,,,,,,,,,,,,,,1
"Which textbooks on College Algebra, Trigonometry, Pre-calculus, Calculus, Linear Algebra, ODE are written by world-class mathematicians?",29/10/2019,2,t,,,,,,,,,,,,,,,,,,1,,,
"Are there any textbooks on multivariable calculus that introduce all non-trivial definitions and all non-trivial proofs with a ""first draft""?",29/10/2019,1,t,,,,,,,,,,,,,,,,,,1,,,
Road map to teach undergrads a first course in real analysis that concludes with convergence of fourier series,29/10/2019,2,t,,,,,,,,,,,,,,,,,,,1,,
Teaching a student who refuses to learn,30/10/2019,5,t,,1,,1,,,,,,,,,,,,,,,,,
The hardest case of integration by partial fractions,01/11/2019,2,t,,,,1,,,,,,,,,,,,,,,,,
The trick didn't like me (teaching Fourier transform),03/11/2019,2,t,1,,,1,,,,1,,,,,,,,,,,,,
"Are degrees of polynomials illogically defined in elementary algebra, intermediate algebra and college algebra courses?",05/11/2019,5,t,,,,,,,,,,,,,,,,,,,,,1
Should Euler's formula eix=cosx+isinxeix=cos⁡x+isin⁡x be seen as a definition rather than something to prove?,05/11/2019,6,t,,,,,,,,,,,,,,,,,,,,,1
Favorite secondary math manipulatives?,12/11/2019,4,t,,,,,,,,,,,,,,,,,,1,,,
Co-curricular lessons between geometry and chemistry?,14/11/2019,4,t,,,,,,,,,,,,,,,,,,1,,,
Beautiful planar geometry theorems not encountered in high school,15/11/2019,13,t,,,,1,,,,,,,,,,,,,,,,,
Introductory exercise for the addition of large natural numbers,17/11/2019,2,t,,,,1,,,,,,,,,,,,,,1,,,
Examples of Quadratic equations using complex math but with no imaginary roots,19/11/2019,2,t,,,,1,,,,,,,,,,,,,,,,,
Good Source for German Tank Problem,20/11/2019,0,t,,,,,,,,,,,,,,,,,,1,,,
Algorithmic thinking problems,21/11/2019,8,t,,,,,,,,,,,,,,,,,,1,,,
What mathematics activities get students physically moving?,23/11/2019,14,t,,,,1,,,,,,,,,,,,,,,,,
Suggested idea: Course exams written by someone else other than the instructors/coordinators. Good or Bad?,24/11/2019,2,t,,,,,,,,,,,,,,,,,,,1,,
3D vectors with 3D glasses software,24/11/2019,2,t,,,,,,,,,,,,,,,,,,1,,,
An intuitive explanation of l'Hôpital's rule for ∞/∞,25/11/2019,4,t,,,,1,,,,,,,,,,,,,,1,,,
"How should one approach the concept of ""plus or minus"", such as in the numerator of the quadratic formula?",26/11/2019,2,t,,,,,,,,,,,,,,,,,,,,,1
Cinderella vs. GeoGebra,28/11/2019,1,t,,,,,,,,,,,,,,,,,,1,,,
How to emulate erf and/or the Normal Inverse function in Moodle?,28/11/2019,1,t,,,,,,,,,,,,,,,,,,1,,,
Should high school teachers say “real numbers” before teaching complex numbers?,29/11/2019,8,t,,,,,,,,,,,,,,,,,,,,,1
Developing abductive (problem-solving) skills,30/11/2019,1,t,,,,1,,,,,,,,,,,,,,1,,,
How to (or should one) distinguish between lowercase and uppercase letters orally when lecturing?,30/11/2019,1,t,,,,,,,,,,,,,,,,,,,,,1
How do I convince my teachers that a book on maths must focus on conceptual understanding?,03/12/2019,3,t,,,,,,,,,,,,,,,,,,,,,
How to teach linear programming and reductions?,07/12/2019,2,t,,,,,,,,,,,,,,,,,,1,,,
Using video games as an introductory tool for game theory? Can video games illustrate game theoretic concepts?,09/12/2019,1,t,,,,1,,,,,,,,,,,,,,1,,,
"Is this primarily a ""rote computational trick"" for multiplication by 9?",13/12/2019,7,t,,,,,,,,,,,,,,,,,,1,,,
Should we stop differentiating between ln and log?,16/12/2019,6,t,,,,,,,,,,,,,,,,,,,,,1
Cardinal vs. ordinal: When learned? When needed?,18/12/2019,3,t,,,,,,,,,,,,,,,,,,,,,1
Are there standard notations for 'number talks' / ‘math talks?',22/12/2019,3,t,,,,,,,,,,,,,,,,,,1,,,
"Equality as ""makes"" vs equality as ""equals""",23/12/2019,1,t,,,,,,,,,,,,,,,,,,,,,1
How should I introduce the Chain Rule,24/12/2019,8,t,,,,1,,,,,,,,,,,,,,,,,
Should we teach simple content quickly or slowly?,26/12/2019,7,t,,,,1,,,,,,,,,,,,,,,,,
"What is the quantitative data on effectiveness of ""modern"" teaching methods?",27/12/2019,6,t,,,,1,,,,,,,,,,,,,,,,,
Does anyone teach logarithms via slide rules?,02/01/2020,4,t,,,,1,,,,,,,,,,,,,,,,,
"Fun, impressive, or compelling examples of scaling of the standard deviation like 1/n−−√1/n?",04/01/2020,1,t,,,,1,,,,,,,,,,,,,,,,1,
"Is short division taught these days and if not, why not?",06/01/2020,8,t,,,,1,,,,,,,,,,,,,,,1,,
Notation in the definition of matrix multiplication,07/01/2020,1,t,,,,1,,,,,,,,,,,,,,,,,1
How to read chained equalities out loud?,09/01/2020,5,t,,,,,,,,,,,,,,,,,,,,,1
Is there a numerical base that is in any way “better” for simple mathematical calculations than others?,09/01/2020,3,t,,,,,,,,,,,,,,,,,,,1,,
How to teach integrals motivated by the work done in moving an object?,14/01/2020,3,t,,,,1,,,,,,,,,,,,,,,,,
Are there any proofs of Euler's Formula that do not rely on calculus?,15/01/2020,8,t,,,,1,,,,,,,,,,,,,,1,,,
Acceptability of creative questions in assessments,15/01/2020,4,t,,,,,,1,,,,,,,,,,,,,,,
How is abab interpreted?,16/01/2020,4,t,,,,,,,,,,,,,,,,,,,,,1
Teaching Calculus I to engineers,17/01/2020,7,t,,,,1,,,,,,,,,,,,,,,,,
Combinatorial problems which can be solved with polynomials,19/01/2020,1,t,,,,,,,,,,,,,,,,,,1,,,
Introducing quadric surfaces in high school,21/01/2020,2,t,,,,,,,,,,,,,,,,,,1,1,,
Algebra/trig/precalculus review questions that elicit common student errors,22/01/2020,3,t,,,,,,,,1,,,,,,,,,,1,,,
Patterns that unexpectedly fall apart at large n,31/01/2020,5,t,,,,,,,,,,,,,,,,,,,,,
Why are a.e. defined functions rarely mentioned in elementary books?,04/02/2020,0,t,,,,,,,,,,,,,,,,,,1,,,
Terminology for parts of limit notation,05/02/2020,3,t,,,,,,,,,,,,,,,,,,,,,1
Allowing nonstandard mathematical language and/or notation,07/02/2020,6,t,,,,,,,,,,,,,,,,,,,,,1
Fear of 3-dimensions,09/02/2020,2,t,,,,1,,,,1,,,,,,,,,,,,,
Tips and References for a 15 days Course on Math,09/02/2020,2,t,,,,,,,,,,,,,,,,,,1,1,,
Adult Learners Returning to College Level Math,12/02/2020,1,t,,,,1,,,,,,,1,,,,,,,,,,
How to intuitively understand how the trig ratios are calculated,14/02/2020,5,t,,,,1,,,,,,,,,,,,,,,,,
How do I show students the Beauty of Mathematics?,14/02/2020,19,t,,1,,1,,,,1,,,,,,,,,,,,,
Undergraduate Vector Calculus Notation Mess,14/02/2020,2,t,,,,,,,,,,,,,,,,,,,,,1
Taxonomy of bad proofs,17/02/2020,5,t,,,,,,,,1,,,,,,,,,,1,,,
How do you plausibly explain that the geometric and the coordinate expressions for the scalar product are equivalent?,17/02/2020,5,t,1,,,1,,,,,,,,,,,,,,,,,
On a special degenerate conic,17/02/2020,1,t,,,,1,,,,,,,,,,,,,,,,,
Scoring students' work is counter-productive,18/02/2020,1,t,,,,,,1,,,,,,,,,,,,,,,
Has the equation log(x−10)=3+log(x−3)log⁡(x−10)=3+log⁡(x−3) a *substitutable* solution in RR?,18/02/2020,4,t,,,,,,,,,,,,,,,,,,,,,1
Making epsilon-delta proofs not just precalculus,18/02/2020,1,t,,,,1,,,,,,,,,,,,,,1,,,
Confusing verbal descriptions of function transformations,23/02/2020,2,t,,,,,,,,,,,,,,,,,,,,,1
Teaching Quantifiers Before Logical Connectives,23/02/2020,1,t,,,,,,,,,,,,,,,,,,,1,,
"Can we avoid confusion over using ""let"" as a quantifier?",24/02/2020,2,t,,,,,,,,1,,,,,,,,,,,,,
How should I convince a student who thinks they proved 1=−1,24/02/2020,5,t,1,,,1,,,,1,,,,,,,,,,,,,
Students writing f(x2+1)f(x2+1) when they probably mean f(x)=x2+1,24/02/2020,3,t,,,,1,,,,1,,,,,,,,,,,,,
What are strategies for teaching that the altitude of a right triangle creates two similar triangles?,25/02/2020,5,t,,,,1,,,,,,,,,,,,,,,,,
"How to explain the ""less than yearly compounded interest"" concept?",26/02/2020,0,t,,,,1,,,,,,,,,,,,,,,,,
"Should we stop teaching ""interchange xx and yy"" when finding the inverse function?",28/02/2020,6,t,,,,,,,,,,,,,,,,,,,,,1
What would you recommend for the math thinking course for school?,02/03/2020,2,t,,,,,,,,,,,,,,,,,,1,1,,
"A fun, one-day topic for a vector analysis course",05/03/2020,4,t,,,,,,,,,,,,,,,,,,1,1,,
Proof that convergent Taylor Series converge to actual value of function,09/03/2020,4,t,,,,1,,,,,,,,,,,,,,,,,
Online Whiteboard Application with Simple Latex Support,10/03/2020,4,t,,,,1,,,,,,,,,,,,,,1,,,
How shall we teach math online due to pandemic,12/03/2020,17,t,,,,,,,,,,,,,,,,,,1,,,
Best resources for probability/statistics textbooks,14/03/2020,4,t,,,,,,,,,,,,,,,,,,1,,,
Tablet whiteboard app w e-pencil,15/03/2020,0,t,,,,,,,,,,,,,,,,1,,1,,,
Most popular setups for recording video lectures for pandemic,17/03/2020,6,t,,,,,,,,,,,,,,,,1,,1,,,
"How to evaluate students in a ""do all you can"" exercise?",17/03/2020,3,t,,,,,,1,,,,,,,,,,,,,,,
"Should we stop using traditional compass in schools & start/encourage adopting compasses like ""Slide N Measure"" or ""Safe-T"" compasses instead?",17/03/2020,3,t,,,,1,,,,,,,,,,,,,,,,,
Is evaluating a Real Polynomial at a Complex Value a suitable task for Precalculus students?,18/03/2020,2,t,,,,1,,,,,,,,,,,,,,,,,
Topics for undergraduate seminar for mathematics educators,18/03/2020,2,t,,,,,,,,,,,,,,,,,,,1,,
How to conduct online testing for Calculus due to pandemic,18/03/2020,1,t,,,,,,1,,,,,,,,,,,,,,,
Math circles while under quarantine pandemic,20/03/2020,2,t,,,,1,,,,,,,,,,,,,,1,,,
help thinking of conceptual or open-ended Intro Algebra and Intermediate Algebra test questions pandemic,24/03/2020,1,t,,,,1,,,,,,,,,,,,,,1,,,
The Future of Worksheets - will they still be used or abandoned?,29/03/2020,4,t,,,,1,,,,,,,,,,,,1,,,,,
The spatial thinking course for primary school - what to use?,30/03/2020,1,t,,,,,,,,,,,,,,,,,,,1,,
Online testing platform,31/03/2020,0,t,,,,,,1,,,,,,,,,,1,,,,,
What is the best way to intuitively explain the relationship between the derivative and the integral?,02/04/2020,10,t,,,,1,,,,,,,,,,,,,,,,,
Ideas for explaining 4D and higher dimensions,05/04/2020,11,t,,,,1,,,,,,,,,,,,,,,,,
"How to define ""axes with the same scale"" in Secondary/High School?",06/04/2020,5,t,,,,,,,,,,,,,,,,,,,,,1
Are there any online question bank of mathematics questions?,08/04/2020,1,t,,,,,,1,,,,,,,,,,,,,,,
Mathematics minor requirements,13/04/2020,2,t,,,,,,,,,,,,,,,,,,,1,,
Resources for improving computational skills at the high school/university transition,14/04/2020,1,t,,,,,,,,1,,,,,,,,,,1,,,
When assigning a late penalty for assignments is that penalty subtracted from the total or does it reduce the score by that percentage,14/04/2020,2,t,,,,,,1,,,,,,,,,,,,,,,
Multiple extra credit questions in a homework set,15/04/2020,2,t,,,,,,1,,,,,,,,,,,,,,,
Different ways to multiply decimals,17/04/2020,13,t,,,,1,,,,,,,,,,,,,,,,,
Do you have an efficient way to view student responses to remote assignments allowing them to type math symbols and steps? (Middle + High school) pandemic,22/04/2020,7,t,,,,1,,1,,,,,,,,,,,,1,,,
Has a List of Fundamental Mathematical Skills been compiled?,22/04/2020,2,t,,,,,,,,,,,,,,,,,,,1,,
Do you teach different proofs or calculations of same question?,23/04/2020,2,t,,,,1,,,,,,,,,,,,,,,,,
Ideas and/or references for projects for a business calculus course,27/04/2020,1,t,,,,1,,,,,,,,,,,,,,1,,,
"Geometrical interpretation of the identity lcm(a,b)gcf(a,b)=ab",28/04/2020,4,t,,,,1,,,,,,,,,,,,,,,,,
"For an online assignment application, should different versions of the same assignment be allowed to have different numbers of questions?",28/04/2020,2,t,,,,,,1,,,,,,,,,,,,,,,
(How) Do American undergraduate math programs teach complex numbers?,29/04/2020,5,t,,,,1,,,,,,,,,,,,,,,,,
Fun set theory for kids,04/05/2020,8,t,,,,1,,,,,,,,,,,,,,,,1,
Introductory Analysis lecture slides,04/05/2020,1,t,,,,,,,,,,,,,,,,,,1,,,
"Does the ""Find"" in questions such as ""Find the solution"" imply the process of finding must be laid out?",06/05/2020,3,t,,,,,,1,,,,,,,,,,,,,,,
"Examples for ""good"" exponential growth versus linear growth",06/05/2020,2,t,,,,1,,,,,,,,,,,,,,,,,
Interesting things you learned while grading?,07/05/2020,10,t,,,,,,1,,1,,,,,,,,,,,,,
Is there research to back up the claim that math classes help develop analytical skills?,07/05/2020,2,t,,,,,,,,,,,,,,,,,,,,,
Content for a 40-minute lecture on graph theory for high schoolers,07/05/2020,7,t,,,,,,,,,,,,,,,,,,,1,,
Proof by contradiction - more than one case,08/05/2020,1,t,,,,1,,,,,,,,,,,,,,1,,,
How rigorous should high school calculus be?,09/05/2020,6,t,,,,1,,,,,,,,,,,,,,,,,
How do I track down the sources of solutions which students have used to cheat on exams?,13/05/2020,1,t,,,,,,1,,,,,,,,,,,,,,,
Why do some linear algebra courses focus on matrices rather than linear maps?,14/05/2020,8,t,,,,,,,,,,,,,,,,,,,,1,
"""Feynman effect"" in teaching mathematics",15/05/2020,2,t,,,,1,,,,,,,,,,,,,,,,,
Looking for a HIERARCHY of math subjects,20/05/2020,3,t,,,,,,,,,,,,,,,,,,,1,,
Math 3d animation software,21/05/2020,4,t,,,,,,,,,,,,,,,,,,1,,,
How to motivate an adolescent who has fallen behind in conceptual development?,22/05/2020,6,t,,,,,,,,1,,,1,,,,,,,,,,
"Teaching Approach at primary, middle and higher level",23/05/2020,2,t,,,,,,,,,,,,,,,,,,,1,,
"What are some resources for ""ungrading"" in a math class?",31/05/2020,2,t,,,,,,1,,,,,,,,,,,,,,,
Efficient methods to receive and grade online mathematics assessments due to pandemic?,01/06/2020,6,t,,,,,,1,,,,,,,,,,,,,,,
Applications of unreducible fractions in Basic School,02/06/2020,1,t,,,,1,,,,,,,,,,,,,,,1,,
"How must the ""ungrading"" idea be adapted to work in a math class?",03/06/2020,0,t,,,,,,1,,,,,,,,,,,,,,,
Concrete way to teach addition and subtraction of fractions,05/06/2020,5,t,,,,1,,,,,,,,,,,,,,,,,
self-reliance and psychology in learning math,07/06/2020,3,t,,,,1,,,,,1,,,,,,,,,,,,
Future way of learning mathematics (towards graduate level) due to pandemic,08/06/2020,2,t,,,,1,,,,,,,,,,,,,,,,,
Better instruction for an identity equation worksheet,09/06/2020,0,t,,,,,,,,,,,,,,,,,,,,,1
"How, now, shall we teach math online due to pandemic",13/06/2020,1,t,,,,1,,,,,,,,,,,,1,,,,,
Workbooks for advanced high school math topics,16/06/2020,2,t,,,,,,,,,,,,,,,,,,1,,,
What websites allow students to purchase solutions to problems?,18/06/2020,4,t,,,,,,1,,,,,,,,,,,,,,,
What are the best practices for giving online tests due to pandemic?,20/06/2020,6,t,,,,,,1,,,,,,,,,,,,,,,
What are some of the open problems that can be suitably introduced in a calculus course?,22/06/2020,4,t,,,,,,,,,,,,,,,,,,1,,,
"The use of ""∴∴"" and ""∵∵""",23/06/2020,2,t,,,,,,,,,,,,,,,,,,,,,1
English translation of Sung-Dae Hong's The Art of Mathematics,23/06/2020,1,t,,,,,,,,,,,,,,,,,,1,,,
When do college students learn rigorous proofs?,24/06/2020,11,t,,,,,,,,,,,,,,,,,,,1,,
Why is a translated exponential function considered an exponential function?,26/06/2020,5,t,,,,,,,,,,,,,,,,,,,,,1
Ideal Features of Online Homework Platform?,29/06/2020,0,t,,,,,,1,,,,,,,,,,,,,,,
"Analogies for grad, div, curl, and Laplacian?",05/07/2020,1,t,,,,1,,,,,,,,,,,,,,,,,
Is There Such Thing as Reaching Half a Standard?,07/07/2020,0,t,,,,,,1,,,,,,,,,,,,,,,
Do you mention the continuity and the differentiability of the empty function,07/07/2020,2,t,,,,1,,,,,,,,,,,,,,,,,1
Would it make sense for math courses to be pass/fail?,09/07/2020,2,t,,,,,,1,,,,,,,,,,,,,,,
"What is ""mastery"" in a mathematical topic?",09/07/2020,2,t,,,,1,,1,,,,,,,,,,,,,,,
What is a good place for teachers to share self-created content?,10/07/2020,1,t,,,,,,,,,,,,,,,,,,,,,
Good resources on matrix equations,11/07/2020,2,t,,,,,,,,,,,,,,,,,,1,,,
How much more skilled in the topic should you be in order to teach the topic?,13/07/2020,2,t,1,,,1,,,,,,,,,,,,,,,,,
Research for Video Length for Math Videos,17/07/2020,1,t,,,,1,,,,,,,,,,,,,,,,,
How can teachers warn students about common mistakes without causing the student to make the mistake?,21/07/2020,6,t,,,,1,,,,1,,,,,,,,,,,,,
Generating system of equations with unique solutions,22/07/2020,2,t,,,,,,,,,,,,,,,,,,1,,,
Intuition or geometry for Partial Fractions,24/07/2020,2,t,,,,1,,,,,,,,,,,,,,,,,
